incident_number,incident_types,reported_date,nearest_populated_centre,province,company,status,latitude,longitude,approx_vol_released,substance,release_type,significant,year,occurrence_date_and_time,discovered_date_and_time,detailed_what_happened,what_happened_category,detailed_why_it_happened,why_it_happened_category,duration_of_interruption_of_pipeline_operations,pipeline_or_facility_type,activity_being_performed_at_time_of_incident,how_the_incident_was_discovered,closed_date,pipeline_or_facility_equipment_involved,rupture,incident_type,released_substance_type,released_volume_m3,pipe_body_release,residual_effects_on_the_environment,source_of_explosion,source_of_fire,activity_at_time_of_fatality,number_of_fatalities,type_of_injury,number_of_individuals_injured,workdays_lost,work_restricted_by_injury,conditions_that_resulted_in_the_operation_beyond_limits,conditions_that_resulted_in_adverse_effects_on_the_environment,number_of_people_evacuated,regulation,pipeline_name,pipeline_outside_diameter_nps,pipeline_length_km,substance_carried,facility_name,facility_type,facility_latitude,facility_longitude,country,affects_company_property,off_company_property,affects_pipeline_right_of_way,affects_off_pipeline_right_of_way,land_use,population_density,kilometre_post,emergency_level,investigation_type,was_neb_staff_deployed,related_neb_event_number,equipment_or_component_involved,design_standard,nominal_pipe_size,material,material_grade,schedule,design_wall_thickness_mm,custom_design_wall_thickness_mm,actual_wall_thickness_mm,licensed_maximum_operating_pressure_k_pa,restricted_operating_pressure_k_pa,actual_operating_pressure_at_time_of_failure_k_pa,designed_depth_of_cover_m,actual_depth_of_cover_m,year_of_manufacture,year_of_installation,year_when_put_into_service,most_recent_cathodic_protection_reading_at_incident_site_m_v_vs_cu_cu_so4,weld_type,seam_type,seam_joining_method,seam_clock_position,coating_location,coating_type,coating_condition,application_method,year_when_the_coating_was_applied,insulation_installed,repair_type,repair_date,equipment_or_component_has_never_been_inspected,most_recent_inspection_date_for_the_failed_equipment_or_component,type_of_most_recent_inspection,most_recent_inspection_part_of_the_routine_inspection_program,no_maintenance_done_on_this_equipment_or_component,date_of_the_most_recent_maintenance_work_for_the_failed_equipment_or_component,most_recent_maintenance_type,most_recent_maintenance_work_part_of_the_routine_maintenance_program,reported_year,reported_month,reported_day
INC2015-010,Release of Substance,2015-01-26,Mattice Ontario,Ontario,TransCanada PipeLines Limited,Closed,49.58574,-83.16674,0.01,Natural Gas - Sweet,Gas,No,2015,NA,1/25/2015 2:45,"Damage or deterioration mechanism, Geotechnical Failure, Frost heave",Natural Force Damage,"Job or system factors, Inadequate engineering, Inadequate evaluation of changes",Engineering and Planning,No pipeline interruption,Transmission,Operation,Employee / Contractor (Onsite),5/1/2017,Yes,No,Release of Substance,Natural Gas - Sweet,0.01,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,NA,NA,NA,NA,STN 92 - MATTICE,NA,49.58573804,-83.16673903,Canada,Yes,No,No,No,Developed Land - Industrial,10 or fewer dwelling units per km,N/A,Level I,Standard Review - 168 days,No,NA,"Station/Facility, Compression, Piping, Body",NA,NPS 2,Carbon Steel,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,1/23/2015,Visual,Yes,Yes,NA,NA,No,2015,1,26
INC2015-006,Fire,2015-01-16,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.5421,-113.3584,0,Not Applicable,Not Applicable,No,2015,1/14/2015 12:50,1/14/2015 12:50,"Substandard Acts, Using equipment improperly;Substandard Conditions, Inadequate preparation or planning","External Interference, Incorrect Operation","Job or system factors, Inadequate maintenance, Inadequate preventive, Adjustment or assembly;Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules","Maintenance, Standards and Procedures",No pipeline interruption,Transmission,Construction,Employee / Contractor (Onsite),4/20/2018,No,No,Fire,NA,NA,NA,No,NA,Welding or Cutting,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,NA,NA,NA,NA,NA,Valve,NA,NA,Canada,No,No,No,No,Developed Land - Industrial,10 or fewer dwelling units per km,0,Level I,Standard Review - 168 days,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2015,1,16
INC2015-002,Operation Beyond Design Limits,2015-01-09,Bowmanville,Ontario,Trans-Northern Pipelines Inc.,Closed,43.94536,-78.661769,0,Not Applicable,Not Applicable,No,2015,1/9/2015 1:30,1/9/2015 1:30,"Damage or deterioration mechanism, Other Causes, Improper Operation;Substandard Acts, Servicing equipment in operation;Substandard Acts, Failure to identify hazard or risk;Substandard Conditions, Inadequate information or data","External Interference, Incorrect Operation","Personal factors, Lack of knowledge, Lack of experience;Job or system factors, Inadequate purchasing, Inadequate research on materials or equipment;Job or system factors, Inadequate purchasing, Inadequate specifications to vendors;Job or system factors, Inadequate tools and equipment, Inadequate assessment of needs and risks;Job or system factors, Inadequate tools and equipment, Inadequate standards or specifications","Human Factors, Inadequate Procurement, Tools and Equipment",Short-term interruption,Transmission,Operation,Other Control System,1/10/2017,No,No,Operation Beyond Design Limits,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Over Pressure,NA,0,OPR,Mainline,273.1,635.0188165,Refined Products-Aviation,NA,Meter,NA,NA,Canada,Yes,No,Yes,No,Agricultural Cropland,10 or fewer dwelling units per km,471.54,Level I,Standard Review - 168 days,No,"INC2011-012, INC2011-129, INC2012-054, INC2013-101, INC2013-202, INC2013-203, INC2014-080, INC2014-123, INC2015-034, INC2016-008","Pipeline, Pipe, Body",ASAB31.1-1951,NPS 10,Carbon Steel,317 - X46,30,7.8 mm = 0.307 in,NA,NA,8274,6619,7509,NA,NA,NA,1952,1952,NA,NA,Straight,Electric Resistance Welded,NA,External,Polyethylene Tape Wrap,NA,Plant Applied,NA,No,NA,NA,No,1/7/2015,NA,Yes,No,1/8/2015,Testing of Functionality,Yes,2015,1,9
INC2015-001,Release of Substance,2015-01-09,St.George,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.2022834,-66.6866022,1,Natural Gas - Sweet,Gas,No,2015,1/8/2015 5:30,1/8/2015 5:30,"Substandard Conditions, Weather Related, Frozen components;Substandard Conditions, Weather Related, Temperature Extremes",External Interference,"Job or system factors, Inadequate work standards, Inadequate development of standards, Inventory and evaluation of exposures and needs",Standards and Procedures,No pipeline interruption,Transmission,Operation,Inspection Site Visit,2/21/2017,No,No,Release of Substance,Natural Gas - Sweet,1,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,Saint John lateral,406.4,104.6217048,Natural Gas,NA,NA,NA,NA,Canada,Yes,No,No,No,Forests,10 or fewer dwelling units per km,SJLT KP 40,Level I,Standard Review - 168 days,No,NA,"Pipeline, Valve, Pressure relief, Seal/Packing",CSA Z662,NPS 1/2,Stainless Steel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,12/17/2014,Visual,Yes,No,12/12/2014,Testing of Functionality,Yes,2015,1,9
INC2014-155,Release of Substance,2014-12-23,Kenora,Ontario,TransCanada PipeLines Limited,Closed,49.79171,-94.49432,0.01,Natural Gas - Sweet,Gas,No,2014,12/23/2014 6:00,12/23/2014 6:00,"Substandard Acts, Failure to identify hazard or risk;Substandard Acts, Failure to check or monitor;Damage or deterioration mechanism, Equipment, Ancillary Equipment (See CSA Annex H, Pipeline Failure Records)","Equipment Failure, Incorrect Operation","Job or system factors, Inadequate leadership and/or supervision, Inadequate identification and evaluation of loss exposures;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Excessive wear and tear, Improper loading or rate of use;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs","Inadequate Supervision, Maintenance",No pipeline interruption,NA,Operation,Employee / Contractor (Onsite),12/5/2016,Yes,No,Release of Substance,Natural Gas - Sweet,0.01,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,LINE 100-1,"508.00000000, 762.00000000, 863.60000000",2595.724534,Natural Gas,STN 49 - KENORA,NA,49.79171203,-94.49432202,Canada,Yes,No,Yes,No,Unknown Land Use (Historical Data Migration),More than 10 but fewer than 46 dwelling units per km,Mainline Valve + Offset (km),Level I,Standard Review - 168 days,No,NA,"Station/Facility, Compression, Auxiliary device(s) (please explain)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2014,12,23
INC2014-154,Release of Substance,2014-12-23,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.25902,-66.094405,100,Natural Gas - Sweet,Gas,No,2014,12/23/2014 4:15,12/23/2014 4:15,"Damage or deterioration mechanism, Other Causes, Unknown",Other Causes,"Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Excessive wear and tear, Inadequate maintenance",Maintenance,NA,NA,Operation,NA,4/21/2015,Yes,No,Release of Substance,Natural Gas - Sweet,100,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,Saint John lateral,406.4,104.6217048,Natural Gas,NA,NA,NA,NA,Canada,Yes,No,Yes,No,Unknown Land Use (Historical Data Migration),46 or more dwelling units per km,Mainline Valve + Offset (km),Level I,Standard Review - 168 days,No,NA,"Station/Facility, Metering, Receiving, Valve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Yes,NA,NA,No,Yes,NA,NA,No,2014,12,23
INC2014-153,Release of Substance,2014-12-17,Regina,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.482408,-104.575209,173.6,Crude Oil - Sweet,Liquid,No,2014,NA,12/16/2014 10:42,"Damage or deterioration mechanism, Equipment, Gasket/O-ring",Equipment Failure,"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Job or system factors, Inadequate purchasing, Inadequate research on materials or equipment;Job or system factors, Excessive wear and tear, Inadequate planning of use;Job or system factors, Inadequate maintenance, Inadequate reparative, Part substitution","Engineering and Planning, Inadequate Procurement, Maintenance",NA,Transmission,Operation,3rd Party / Other Company,10/9/2015,Yes,No,Release of Substance,Crude Oil - Sweet,173.6,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,Line 4,"1219.00000000, 864.00000000, 914.00000000",1248.909872,Crude Oil,NA,Meter,NA,NA,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),MP 437,Level I,Standard Review - 168 days,Yes,REM-0336,"Station/Facility, Pumping, Valve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Yes,NA,NA,No,Yes,NA,NA,No,2014,12,17
INC2014-151,Operation Beyond Design Limits,2014-12-09,Atmore,Alberta,NOVA Gas Transmission Ltd.,Closed,54.836647,-112.551304,0,Not Applicable,Not Applicable,No,2014,12/8/2014 10:22,12/8/2014 10:22,"Substandard Acts, Failure to follow procedure or policy or practice;Substandard Conditions, Inadequate warning system","External Interference, Incorrect Operation","Job or system factors, Inadequate engineering, Inadequate or improper controls;Job or system factors, Inadequate engineering, Inadequate evaluation of changes",Engineering and Planning,NA,NA,Maintenance,NA,9/28/2016,No,No,Operation Beyond Design Limits,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Over Pressure,NA,0,OPR,ATMORE LATERAL - NPS 12,323.9,19.99927397,Natural Gas,NA,NA,NA,NA,Canada,Yes,No,Yes,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NA,Level I,Standard Review - 168 days,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2014,12,9
INC2014-150,Fire,2014-12-05,Lloydminster,Alberta,Cochin Pipe Lines Ltd.,Closed,52.405926,-110.026224,0,Not Applicable,Not Applicable,No,2014,12/5/2014 3:00,12/5/2014 3:00,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing;Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body;Substandard Conditions, Weather Related, Frozen components;Substandard Acts, Using equipment improperly;Substandard Acts, Failure to follow procedure or policy or practice;Substandard Acts, Failure to identify hazard or risk;Substandard Acts, Failure to check or monitor;Substandard Acts, Failure to react or correct;Substandard Acts, Failure to communicate or coordinate;Substandard Conditions, Fire and explosion hazards;Substandard Conditions, Inadequate ventilation;Substandard Conditions, Presence of harmful materials;Substandard Conditions, Inadequate instructions or procedures","Defect and Deterioration, Equipment Failure, External Interference, Incorrect Operation","Personal factors, Lack of knowledge, Lack of situational awareness;Job or system factors, Inadequate leadership and/or supervision, Giving inadequate policy, procedure, practices or guidelines;Job or system factors, Inadequate leadership and/or supervision, Inadequate instructions, orientation and/or training;Job or system factors, Inadequate leadership and/or supervision, Inadequate identification and evaluation of loss exposures;Job or system factors, Inadequate purchasing, Inadequate identification of hazardous materials;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring","Human Factors, Inadequate Procurement, Inadequate Supervision, Maintenance",NA,NA,Construction,NA,6/2/2015,No,No,Fire,NA,NA,NA,No,NA,Welding or Cutting,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,NA,NA,NA,NA,NA,NA,NA,NA,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NA,Level I,Standard Review - 168 days,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2014,12,5
INC2014-149,Release of Substance,2014-12-04,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.56909171,-121.9446616,3175,Sulphur Dioxide,Miscellaneous,No,2014,12/3/2014 7:05,12/4/2014 7:05,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate reparative, Scheduling of work",Maintenance,NA,NA,Operation,NA,9/26/2017,Yes,No,Release of Substance,Sulphur Dioxide,3175,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,PPR,NA,NA,NA,NA,PINE RIVER GAS PLANT (PRGP),NA,55.56909171,-121.9446616,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NA,Level I,Standard Review - 168 days,No,NA,"Processing Plant, Flare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Yes,NA,NA,No,Yes,NA,NA,No,2014,12,4
INC2014-148,Release of Substance,2014-12-04,Kenora,Ontario,TransCanada PipeLines Limited,Closed,49.79171,-94.49432,0.01,Natural Gas - Sweet,Gas,No,2014,12/4/2014 11:00,12/4/2014 11:00,"Damage or deterioration mechanism, Equipment;Substandard Acts, Improper placement;Substandard Acts, Failure to identify hazard or risk","Equipment Failure, Incorrect Operation","Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Excessive wear and tear, Improper loading or rate of use;Job or system factors, Inadequate maintenance, Inadequate preventive, Adjustment or assembly",Maintenance,No pipeline interruption,NA,Operation,Employee / Contractor (Onsite),3/11/2015,Yes,No,Release of Substance,Natural Gas - Sweet,0.01,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,LINE 100-1,"508.00000000, 762.00000000, 863.60000000",2595.724534,Natural Gas,STN 49 - KENORA,NA,49.79171203,-94.49432202,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NA,Level I,Standard Review - 168 days,No,NA,"Station/Facility, Compression, Pipe",NA,NPS 3/8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2014,12,4
INC2014-147,Release of Substance,2014-12-03,Irma,Alberta,Alliance Pipeline Ltd.,Closed,53.032311,-111.221031,0.01,Natural Gas - Sweet,Gas,No,2014,NA,12/3/2014 8:07,"Damage or deterioration mechanism, Structural Degradation, Weeping;Substandard Acts, Failure to check or monitor;Damage or deterioration mechanism, Equipment, Ancillary Equipment (See CSA Annex H, Pipeline Failure Records)","Defect and Deterioration, Equipment Failure, Incorrect Operation","Job or system factors, Inadequate maintenance, Inadequate preventive, Cleaning or resurfacing",Maintenance,No pipeline interruption,NA,Operation,Employee / Contractor (Onsite),3/17/2015,No,No,Release of Substance,Natural Gas - Sweet,0.01,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,MAINLINE,"1067.00000000, 914.00000000",1551.609274,Natural Gas,IRMA,NA,NA,NA,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NA,Level I,Standard Review - 168 days,No,INC2014-132,"Station/Facility, Compression, Valve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2014,12,3
INC2014-146,Release of Substance,2014-11-27,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.56909171,-121.9446616,9000,Sulphur Dioxide,Miscellaneous,No,2014,11/27/2014 12:00,11/27/2014 12:00,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Adjustment or assembly",Maintenance,NA,NA,Operation,NA,11/9/2017,No,No,Release of Substance,Sulphur Dioxide,9000,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,PPR,NA,NA,NA,NA,PINE RIVER GAS PLANT (PRGP),NA,55.56909171,-121.9446616,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),More than 10 but fewer than 46 dwelling units per km,NA,Level I,Standard Review - 168 days,No,EF2015-001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2014,11,27
INC2014-139,Release of Substance,2014-11-15,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.14633,-120.66918,0,Natural Gas - Sweet,Gas,No,2014,11/15/2014 5:00,11/15/2014 5:00,"Damage or deterioration mechanism, Electrical Power System Failure, Electrical Fault",Equipment Failure,"Job or system factors, Excessive wear and tear, Inadequate planning of use",Maintenance,NA,NA,Operation,NA,9/12/2017,No,No,Release of Substance,Natural Gas - Sweet,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,PPR,NA,NA,NA,NA,NA,NA,NA,NA,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NA,Level I,Standard Review - 168 days,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2014,11,15
INC2014-137,Release of Substance,2014-11-12,Bentley,Alberta,NOVA Gas Transmission Ltd.,Closed,52.46696,-114.2987,0.001,Natural Gas - Sweet,Gas,No,2014,NA,11/12/2014 2:30,"Damage or deterioration mechanism, Material or Manufacturing, Defective Circumferential Weld;Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Inadequate engineering, Inadequate monitoring of construction",Engineering and Planning,NA,NA,Maintenance,Employee / Contractor (Onsite),1/22/2015,Yes,No,Release of Substance,Natural Gas - Sweet,0.001,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,NA,NA,NA,NA,GILBY SOUTH PACIFIC,NA,52.46695947,-114.2987031,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NA,Level I,Standard Review - 168 days,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2014,11,12
INC2014-136,Release of Substance,2014-11-10,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.27322,-66.06481,0.01,Natural Gas - Sweet,Gas,No,2014,11/10/2014 5:13,11/10/2014 5:20,"Damage or deterioration mechanism, Equipment",Equipment Failure,"Job or system factors, Inadequate tools and equipment, Inadequate adjustment or repair or maintenance",Tools and Equipment,NA,NA,Operation,3rd Party / Other Company,1/29/2015,Yes,No,Release of Substance,Natural Gas - Sweet,0.01,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,Saint John lateral,406.4,104.6217048,Natural Gas,NA,NA,NA,NA,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NA,Level I,Standard Review - 168 days,No,NA,"Station/Facility, Metering, Delivering, Valve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,NA,NA,No,2014,11,10
INC2014-134,Release of Substance,2014-11-04,Deux Rivieres,Ontario,TransCanada PipeLines Limited,Closed,46.23981,-78.13258,101000,Natural Gas - Sweet,Gas,Yes,2014,11/3/2014 7:00,11/3/2014 7:00,"Substandard Acts, Failure to secure;Substandard Acts, Failure to follow procedure or policy or practice",Incorrect Operation,"Job or system factors, Inadequate engineering, Inadequate monitoring of construction;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Excessive wear and tear, Improper loading or rate of use","Engineering and Planning, Maintenance",No pipeline interruption,NA,Operation,Employee / Contractor (Onsite),12/6/2016,Yes,No,Release of Substance,Natural Gas - Sweet,101000,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,Deux Rivieres Loop,1067,29.83448227,Natural Gas,STN 1206 - DEUX RIVIERES,NA,46.23981203,-78.1325835,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),1206,Level I,Standard Review - 168 days,No,"INC2015-031, INC2015-049, INC2015-055","Station/Facility, Compression, Instrumentation and controls",NA,NPS 3/8,Stainless Steel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Yes,NA,NA,No,Yes,NA,NA,No,2014,11,4
INC2014-132,Release of Substance,2014-10-23,Irma,Alberta,Alliance Pipeline Ltd.,Closed,53.03122,-111.2215,0.01,Natural Gas - Sweet,Gas,No,2014,NA,10/20/2014 2:38,"Damage or deterioration mechanism, Equipment, Gasket/O-ring;Substandard Acts, Servicing equipment in operation;Substandard Acts, Failure to check or monitor","Equipment Failure, Incorrect Operation","Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring",Maintenance,No pipeline interruption,NA,Operation,Employee / Contractor (Onsite),12/2/2016,Yes,No,Release of Substance,Natural Gas - Sweet,0.01,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,OPR,MAINLINE,"1067.00000000, 914.00000000",1551.609274,Natural Gas,IRMA,NA,NA,NA,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),NA,Level I,Standard Review - 168 days,No,INC2014-147,"Station/Facility, Compression, Instrumentation and controls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Yes,NA,NA,No,Yes,NA,NA,No,2014,10,23
INC2014-131,Operation Beyond Design Limits,2014-10-22,Fox Creek,Alberta,Alliance Pipeline Ltd.,Closed,54.41803,-117.14534,0,Not Applicable,Not Applicable,No,2014,NA,10/22/2014 12:00,"Damage or deterioration mechanism, Geotechnical Failure, Landslide",Natural Force Damage,"Job or system factors, Inadequate engineering, Inadequate or improper controls",Engineering and Planning,NA,Transmission,Operation,Scheduled Patrol,2/4/2016,Yes,No,"Geo-technical, Hydro-technical or Environmental Activity Threatens the Safe Operation of a Pipeline, Operation Beyond Design Limits",NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,Slope Movements,NA,0,OPR,BIGSTONE LATERAL,219.1,33.81470272,Natural Gas,NA,NA,NA,NA,Canada,Yes,No,Yes,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),13.3,Level I,Standard Review - 168 days,No,NA,"Pipeline, Pipe, Body",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Yes,NA,NA,No,Yes,NA,NA,No,2014,10,22
INC2014-130,Release of Substance,2014-10-19,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.56909171,-121.9446616,3e-4,Hydrogen Sulphide,Miscellaneous,Yes,2014,10/18/2014 10:30,10/18/2014 10:30,"Damage or deterioration mechanism, Equipment, Gasket/O-ring;Substandard Acts, Failure to secure;Substandard Conditions, Presence of harmful materials","Equipment Failure, External Interference, Incorrect Operation","Job or system factors, Excessive wear and tear, Inadequate maintenance;Job or system factors, Inadequate maintenance, Inadequate preventive, Adjustment or assembly",Maintenance,NA,NA,Operation,NA,9/26/2017,No,No,Release of Substance,Hydrogen Sulphide,3e-4,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,PPR,NA,NA,NA,NA,PINE RIVER GAS PLANT (PRGP),NA,55.56909171,-121.9446616,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),10 or fewer dwelling units per km,Legal Subdivision,Level I,Standard Review - 168 days,No,INC2015-005,"Processing Plant, Sulphur plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,10/18/2014,Visual,No,No,10/18/2014,Testing of Functionality,No,2014,10,19
